序号,美食名称,详细名称,重量,热量,,
1,奶茶,全糖大杯奶茶,650ml,370,,
2,柠檬茶,全糖大杯柠檬茶,650ml,192,,
3,拿铁,风味拿铁,450ml,318,,
4,酸奶,风味酸奶,,,,
5,可乐,经典原味可乐,500ml,215,,
6,面包,巧克力/奶酪/芝士面包,100克,358,,
7,三明治,三明治,200克,510,,
8,千层切角,千层切角,50克/一角,130,,
9,瑞士卷,瑞士卷,85克,256,,
10,提拉米苏,提拉米苏,100克,318,,
11,芝士蛋糕,芝士蛋糕/巴斯克,100克,341,,
12,拿破仑,拿破仑,90克,413,,
13,奶油蛋糕,奶油蛋糕,130克,312,,
14,半熟芝士,半熟芝士,40克/一枚,118,,
15,大福,大福/雪媚娘,50克,218,,
16,麻薯,麻薯,45克/一枚,156,,
17,蛋挞,蛋挞,45克,192,,
18,黄油司康,黄油司康,60克/一枚,226,,
19,蛋黄酥,蛋黄酥/凤梨酥/肉松/月饼,50克/一块,221,,
20,枣糕,枣糕,120克/一块,451,,
21,圣代,圣代,120克,394,,
22,甜筒,甜筒,60克,173,,
23,威化饼干,雀巢脆脆鲨,19克/一块,100,,
24,蛋黄派,蛋黄派/巧克力派,23克/一块,104,,
25,果冻,喜之郎什锦果冻杯,200克,127,,
26,肉干,牛肉干/猪肉干,50克,180,,
27,辣条,卫龙辣条,65克,283,,
28,鱿鱼丝,自然派鱿鱼丝,120克,286,,
29,薯片,乐事薯片,75克,400,,
30,水果干,芒果干,120克,400,,
31,方便面,辛拉面,120克,510,,
